meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1239,9550,24,298,224,291,2024-06-30T13:05:38.278000+00:00,71.793,False,17.869,32.021,21.903,"[None, 2049, 2049, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2049, 2049, 2048, 2048]",3
1239,9550,24,297,224,293,2024-06-30T13:04:26.654000+00:00,71.66,False,17.943,31.945,21.772,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",2
1239,9550,24,287,220,285,2024-06-30T13:06:50.171000+00:00,72.269,False,18.133,32.342,21.794,"[2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048]",4
1239,9550,24,290,222,288,2024-06-30T13:11:38.155000+00:00,72.089,False,18.003,32.155,21.931,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",8
1239,9550,24,290,225,286,2024-06-30T13:09:14.166000+00:00,71.973,False,18.108,32.048,21.817,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",6
1239,9550,24,291,223,289,2024-06-30T13:10:26.185000+00:00,72.045,False,18.094,32.181,21.77,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",7
1239,9550,24,291,224,287,2024-06-30T13:08:02.321000+00:00,71.779,False,17.946,32.111,21.722,"[None, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",5
1239,9550,24,289,220,287,2024-06-30T13:14:02.328000+00:00,72.335,False,18.036,32.335,21.964,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 0]",10
1239,9550,24,288,219,287,2024-06-30T13:22:28.473000+00:00,72.852,False,18.068,32.614,22.17,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",17
1239,9550,24,288,221,285,2024-06-30T13:16:26.784000+00:00,72.397,False,18.132,32.327,21.938,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",12
1239,9550,24,295,221,293,2024-06-30T13:24:55.177000+00:00,72.597,False,17.937,32.542,22.118,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",19
1239,9550,24,291,223,286,2024-06-30T13:18:51.382000+00:00,72.337,False,18.088,32.293,21.956,"[None, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",14
1239,9550,24,291,222,288,2024-06-30T13:15:14.782000+00:00,72.068,False,17.999,32.198,21.871,"[None, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",11
1239,9550,24,292,222,287,2024-06-30T13:12:50.173000+00:00,72.16,False,18.0,32.24,21.92,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",9
1239,9550,24,290,219,287,2024-06-30T13:21:16.072000+00:00,72.441,False,18.013,32.343,22.085,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",16
