meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1239,9550,1,295,228,290,2024-06-30T13:13:35.778000+00:00,70.596,False,17.785,31.451,21.36,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10
1239,9550,1,297,230,289,2024-06-30T13:15:56.834000+00:00,70.512,False,17.697,31.454,21.361,"[None, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",12
1239,9550,1,290,227,286,2024-06-30T13:04:14.597000+00:00,69.938,False,17.697,31.186,21.055,"[2049, 2049, 2048, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",2
1239,9550,1,294,225,297,2024-06-30T13:23:02.059000+00:00,71.364,False,17.815,31.854,21.695,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",18
1239,9550,1,,229,289,2024-06-30T13:08:54.405000+00:00,70.238,False,17.698,31.295,21.245,"[2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",6
1239,9550,1,293,230,287,2024-06-30T13:11:14.720000+00:00,70.331,False,17.75,31.375,21.206,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",8
1239,9550,1,294,230,289,2024-06-30T13:32:51.037000+00:00,69.506,False,17.247,31.135,21.124,"[2049, 2051, 2051, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]",26
1239,9550,1,295,227,299,2024-06-30T13:26:36.421000+00:00,71.3,False,17.882,31.893,21.525,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",21
1239,9550,1,291,234,293,2024-06-30T13:30:14.002000+00:00,87.394,True,35.236,31.084,21.074,"[2064, 2064, 2064, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2051]",24
1239,9550,1,292,227,295,2024-06-30T13:27:47.818000+00:00,71.549,False,17.909,31.954,21.686,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064]",22
