meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1239,9550,10,308,225,301,2024-06-30T13:05:33.072000+00:00,71.19,False,17.372,31.902,21.916,"[None, 2049, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2049]",3
1239,9550,10,311,224,306,2024-06-30T13:06:44.254000+00:00,71.045,False,17.54,31.769,21.736,"[2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2049, 2048, 2048]",4
1239,9550,10,310,226,304,2024-06-30T13:09:06.445000+00:00,71.138,False,17.631,31.83,21.677,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",6
1239,9550,10,312,221,305,2024-06-30T13:07:55.387000+00:00,71.011,False,17.562,31.73,21.719,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",5
1239,9550,10,308,221,308,2024-06-30T13:10:17.445000+00:00,71.513,False,17.521,31.892,22.1,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",7
1239,9550,10,314,219,306,2024-06-30T13:11:28.958000+00:00,71.679,False,17.578,32.054,22.047,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2048, 2048]",8
1239,9550,10,296,222,289,2024-06-30T13:15:04.310000+00:00,71.94,False,17.881,32.198,21.861,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2048]",11
1239,9550,10,313,222,307,2024-06-30T13:12:40.676000+00:00,71.509,False,17.636,32.034,21.839,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",9
1239,9550,10,293,223,290,2024-06-30T13:17:28.156000+00:00,71.705,False,18.008,32.01,21.687,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",13
1239,9550,10,297,221,288,2024-06-30T13:16:16.149000+00:00,71.956,False,17.962,32.216,21.778,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048]",12
1239,9550,10,294,225,293,2024-06-30T13:27:09.432000+00:00,87.983,True,34.527,31.634,21.822,"[2064, 2064, 2064, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 0]",21
1239,9550,10,292,221,289,2024-06-30T13:22:16.336000+00:00,72.368,False,18.098,32.338,21.932,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",17
1239,9550,10,,221,308,2024-06-30T13:13:52.168000+00:00,72.132,False,17.59,32.226,22.316,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 0]",10
1239,9550,10,,222,290,2024-06-30T13:24:41.114000+00:00,72.472,False,18.028,32.337,22.107,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064]",19
1239,9550,10,294,219,288,2024-06-30T13:21:03.907000+00:00,72.38,False,18.048,32.327,22.005,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",16
1239,9550,10,291,218,288,2024-06-30T13:25:53.544000+00:00,75.809,False,17.902,32.392,25.515,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",20
1239,9550,10,297,220,291,2024-06-30T13:19:51.800000+00:00,72.089,False,17.935,32.146,22.008,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",15
1239,9550,10,,222,308,2024-06-30T13:42:53.828000+00:00,71.91,False,17.473,32.396,22.041,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",34
1239,9550,10,320,223,313,2024-06-30T13:04:21.513000+00:00,71.383,False,17.571,31.898,21.914,"[2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2048, 2048, 2048]",2
1239,9550,10,310,223,308,2024-06-30T13:45:18.650000+00:00,71.622,False,17.581,32.331,21.71,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",36
1239,9550,10,311,221,307,2024-06-30T13:46:30.271000+00:00,71.641,False,17.564,32.28,21.797,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",37
1239,9550,10,321,220,295,2024-06-30T13:44:05.738000+00:00,72.924,False,17.848,33.131,21.945,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 0]",35
1239,9550,10,307,225,304,2024-06-30T13:47:41.988000+00:00,71.399,False,17.511,32.18,21.708,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",38
1239,9550,10,285,218,286,2024-06-30T13:51:16.923000+00:00,71.965,False,18.015,32.286,21.664,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064]",41
