meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1239,9550,2,297,226,290,2024-06-30T13:08:30.082000+00:00,71.895,False,17.915,32.013,21.967,"[2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048]",5
1239,9550,2,293,225,287,2024-06-30T13:07:18.217000+00:00,71.76,False,17.9,31.806,22.054,"[None, 2048, 2048, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2048, 2048]",4
1239,9550,2,299,223,286,2024-06-30T13:04:27.184000+00:00,99.346,True,45.278,32.073,21.995,"[2064, 2064, 2064, 2048, 2048, 2048]","[2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2048, 2048, 2048]",2
1239,9550,2,297,226,291,2024-06-30T13:15:42.649000+00:00,72.332,False,17.914,32.366,22.052,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",11
1239,9550,2,296,222,293,2024-06-30T13:25:26.461000+00:00,72.772,False,17.91,32.602,22.26,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064]",19
1239,9550,2,296,225,289,2024-06-30T13:13:17.935000+00:00,72.297,False,17.863,32.261,22.173,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",9
1239,9550,2,295,227,289,2024-06-30T13:06:06.548000+00:00,71.686,False,17.87,31.733,22.083,"[2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2049, 2049, 2048, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2048, 2048]",3
1239,9550,2,294,222,287,2024-06-30T13:18:07.623000+00:00,72.669,False,17.977,32.428,22.264,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",13
1239,9550,2,295,225,287,2024-06-30T13:20:33.087000+00:00,72.561,False,18.063,32.367,22.131,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",15
1239,9550,2,298,225,306,2024-06-30T13:37:50.604000+00:00,72.662,False,18.387,32.444,21.831,"[None, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",29
