meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1239,9550,18,327,222,316,2024-06-30T13:04:23.641000+00:00,72.248,False,17.804,32.19,22.254,"[None, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2049, 2049]",2
1239,9550,18,315,222,309,2024-06-30T13:05:35.958000+00:00,71.654,False,17.393,32.204,22.057,"[None, 2049, 2049, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2048]",3
1239,9550,18,313,223,308,2024-06-30T13:09:10.347000+00:00,71.486,False,17.503,32.116,21.867,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2048]",6
1239,9550,18,,224,305,2024-06-30T13:10:21.929000+00:00,71.837,False,17.508,32.377,21.952,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",7
1239,9550,18,318,224,312,2024-06-30T13:07:58.970000+00:00,71.416,False,17.324,32.149,21.943,"[2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2048]",5
1239,9550,18,,222,310,2024-06-30T13:13:57+00:00,71.695,False,17.487,32.264,21.944,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10
1239,9550,18,307,223,305,2024-06-30T13:16:20.663000+00:00,72.055,False,17.565,32.465,22.025,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",12
1239,9550,18,312,223,310,2024-06-30T13:15:08.689000+00:00,72.093,False,17.485,32.441,22.167,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",11
1239,9550,18,289,226,289,2024-06-30T13:17:32.843000+00:00,72.195,False,17.904,32.388,21.903,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",13
1239,9550,18,,223,307,2024-06-30T13:11:33.729000+00:00,71.701,False,17.474,32.278,21.949,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",8
1239,9550,18,294,224,290,2024-06-30T13:18:44.981000+00:00,72.029,False,17.955,32.153,21.921,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",14
1239,9550,18,,227,311,2024-06-30T13:12:45.492000+00:00,71.54,False,17.449,32.175,21.916,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",9
1239,9550,18,289,222,288,2024-06-30T13:23:34.485000+00:00,72.576,False,18.084,32.491,22.001,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",18
1239,9550,18,294,223,289,2024-06-30T13:21:09.410000+00:00,72.388,False,18.0,32.477,21.911,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",16
1239,9550,18,295,223,290,2024-06-30T13:19:57.064000+00:00,72.369,False,17.968,32.348,22.053,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",15
1239,9550,18,316,224,311,2024-06-30T13:06:47.585000+00:00,71.336,False,17.397,31.977,21.962,"[2051, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2049, 2049]","[2049, 2048, 2049, 2048, 2048, 2048, 2048]",4
1239,9550,18,290,224,289,2024-06-30T13:22:21.724000+00:00,72.581,False,18.107,32.461,22.013,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",17
1239,9550,18,296,225,284,2024-06-30T13:27:15.872000+00:00,87.55,True,34.443,31.643,21.464,"[2064, 2064, 2064, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",21
1239,9550,18,290,224,307,2024-06-30T13:28:43.474000+00:00,71.25,False,17.676,31.864,21.71,"[2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]",22
