meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1239,9550,77,291,222,290,2024-06-30T13:13:59.321000+00:00,71.756,False,17.957,32.066,21.733,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10
1239,9550,77,293,223,290,2024-06-30T13:15:11.065000+00:00,71.821,False,17.941,32.075,21.805,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",11
1239,9550,77,293,224,289,2024-06-30T13:18:46.873000+00:00,72.12,False,18.043,32.243,21.834,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",14
1239,9550,77,295,222,291,2024-06-30T13:16:22.762000+00:00,71.965,False,17.996,32.172,21.797,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",12
1239,9550,77,294,222,290,2024-06-30T13:21:11.275000+00:00,72.754,False,18.03,32.474,22.25,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",16
1239,9550,77,296,222,292,2024-06-30T13:19:59.096000+00:00,72.191,False,18.028,32.307,21.856,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",15
1239,9550,77,292,220,293,2024-06-30T13:22:24.062000+00:00,72.437,False,18.037,32.452,21.948,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",17
1239,9550,77,292,225,291,2024-06-30T13:17:34.834000+00:00,72.069,False,18.051,32.176,21.842,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",13
1239,9550,77,293,221,293,2024-06-30T13:23:36.368000+00:00,72.538,False,18.005,32.526,22.007,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064]",18
1239,9550,77,292,223,291,2024-06-30T13:24:49.041000+00:00,76.062,False,18.076,32.506,25.48,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2049, 2048]",19
