meeting_key,session_key,date,air_temperature,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed
1239,9550,2024-06-30T12:23:30.974000+00:00,29.1,36.0,932.8,0,46.8,297,1.9
1239,9550,2024-06-30T12:25:31+00:00,29.2,36.0,932.8,0,46.5,327,1.8
1239,9550,2024-06-30T12:26:31.015000+00:00,29.2,35.0,932.8,0,46.5,321,2.0
1239,9550,2024-06-30T12:27:31.013000+00:00,29.1,36.0,932.9,0,46.7,335,2.0
1239,9550,2024-06-30T12:28:31.011000+00:00,29.2,36.0,932.8,0,46.5,320,1.8
1239,9550,2024-06-30T12:29:31.009000+00:00,29.2,36.0,932.8,0,46.5,323,1.4
1239,9550,2024-06-30T12:30:31.014000+00:00,29.1,36.0,932.9,0,46.5,317,1.8
1239,9550,2024-06-30T12:34:31.029000+00:00,29.0,35.0,932.8,0,46.9,312,1.8
1239,9550,2024-06-30T12:35:31.050000+00:00,29.0,36.0,932.9,0,46.7,351,2.0
1239,9550,2024-06-30T12:36:31.064000+00:00,29.0,36.0,932.8,0,46.5,335,2.6
1239,9550,2024-06-30T12:37:31.100000+00:00,29.0,36.0,932.8,0,46.2,317,1.9
1239,9550,2024-06-30T12:38:31.061000+00:00,29.1,37.0,932.8,0,46.2,322,2.3
1239,9550,2024-06-30T12:42:31.104000+00:00,29.0,36.0,932.8,0,46.8,331,1.3
1239,9550,2024-06-30T12:43:31.104000+00:00,29.0,36.0,932.9,0,46.8,315,1.0
1239,9550,2024-06-30T12:44:31.107000+00:00,28.9,36.0,932.9,0,46.6,329,2.6
1239,9550,2024-06-30T12:45:31.100000+00:00,28.9,37.0,932.8,0,45.9,322,2.6
1239,9550,2024-06-30T12:46:31.100000+00:00,28.7,37.0,933.0,0,46.2,334,1.9
1239,9550,2024-06-30T12:47:31.107000+00:00,28.7,37.0,932.8,0,46.2,348,2.1
1239,9550,2024-06-30T12:49:31.104000+00:00,28.7,37.0,932.9,0,46.0,290,2.2
1239,9550,2024-06-30T12:50:31.100000+00:00,28.7,37.0,932.8,0,46.0,346,1.8
1239,9550,2024-06-30T12:51:31.101000+00:00,28.7,37.0,933.0,0,46.6,295,1.6
