meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1239,9550,14,313,226,301,2024-06-30T13:13:55.479000+00:00,71.902,False,17.559,32.206,22.137,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064]",10
1239,9550,14,314,223,308,2024-06-30T13:15:07.335000+00:00,75.343,False,17.478,32.25,25.615,"[None, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2049, 2049, 2049, 2048]",11
1239,9550,14,297,226,284,2024-06-30T13:16:22.522000+00:00,87.668,True,34.542,31.59,21.536,"[2064, 2064, 2064, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2048]",12
1239,9550,14,293,228,290,2024-06-30T13:17:50.342000+00:00,70.912,False,17.789,31.471,21.652,"[2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]",13
1239,9550,14,312,228,306,2024-06-30T13:05:34.812000+00:00,71.424,False,17.406,32.176,21.842,"[2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]",3
1239,9550,14,,226,290,2024-06-30T13:19:01.215000+00:00,71.382,False,17.932,31.757,21.693,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",14
1239,9550,14,,225,293,2024-06-30T13:22:35.004000+00:00,71.285,False,17.782,31.889,21.614,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",17
1239,9550,14,296,225,291,2024-06-30T13:20:12.582000+00:00,71.189,False,17.897,31.613,21.679,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",15
1239,9550,14,291,225,292,2024-06-30T13:21:23.821000+00:00,71.141,False,17.781,31.722,21.638,"[None, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",16
1239,9550,14,314,226,309,2024-06-30T13:12:43.866000+00:00,71.485,False,17.539,31.964,21.982,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",9
1239,9550,14,309,223,306,2024-06-30T13:07:57.843000+00:00,71.505,False,17.426,32.024,22.055,"[2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2049, 2049, 2048, 2048]",5
